name,lat,lon
F S WASHINGTON EMPLOY INC.,,
INTERNATIONAL REPUBLICAN INSTITUTE,,
DC PREPARATORY ACADEMY,,
OMNI HOTELS,38.9226849,-77.0536644
US CHAMBER OF COMMERCE,,
CACI INC-COMMERCIAL,,
WASHINGTON CONVENTION CENTER,38.9051269,-77.0229544
AYA HEALTHCARE SERVICES INC.,,
ABA HOME HEALTH CARE,,
"OPTUM SERVICES, INC.",,
"INNOVATIVE LIFE SOLUTIONS, INC.",,
ECS FEDERAL INC.,,
ARAMARK FACILITY SERVICE LLC,,
"M ARTHUR GENSLER JR & ASSOCIATES, INC.",,
"CHIMES DISTRICT OF COLUMBIA, INC.",,
WALDEN SECURITY,,
"LIFE LINE, INC.",,
HERITAGE FOUNDATION,38.8952479,-77.0027157
ADP TOTALSOURCE CO XXI INC.,,
HARRIS TEETER LLC,,
COSTCO WHOLESALE CORPORATION,,
CBRE,,
FOX NEWS NETWORK LLC,,
M B FINNEGAN D B HENDERSON ETAL.,,
ASPEN INSTITUTE FOR HUMANISTIC STUDIES,,
"WEGMANS FOOD MARKETS, INC.",,
BANK FUND STAFF FEDERAL CREDIT UNION,38.8991385,-77.0425026
PUBLIC COMPANY ACCOUNTING OVERSIGHT BOARD,,
APPLE INC.,,
PNC BANK NORTH AMERICA,,
AMER ASSOC FOR THE ADVANCEMENT OF SCIENCE,,
BAKER CONCRETE CONSTRUCTION INC.,,
SIDLEY AUSTIN LLP,,
RADIO FREE ASIA,,
COOLEY LLP,,
STERNE KESSLER GOLDSTEIN & FOX,,
EQUINOX GYMS,,
P & R ENTEPRISES INC.,,
GIBSON DUNN & CRUTCHER,,
J&B CLEANING SERVICES,,
WHITMAN-WALKER CLINIC,38.9104565,-77.0317035
WELLS FARGO BANK NORTH AMERICA,,
CRS FACILITIES SERVICES LLC,,
"ABM INDUSTRY GROUPS, LLC",,
SEC TEK SECURITY INC.,,
"SKADDEN, ARPS, SLATE, MEAGHER, & FLOM LLP",,
PWC US GROUP LLP,,
MCDERMOTT WILL & EMERY,38.8965761,-77.0093625
STEPTOE & JOHNSON,,
FUTURES GROUP,,
"CONRAD EMPLOYER, LLC",,

